銀行對遠期匯票或本票，以折扣方式預收利息而購入者，稱為下列何種業務？|(1)承兌,(2)貼現,(3)背書,(4)透支|2|47期-1 第1題

某商業銀行之主要股東甲，其家族成員包括甲之父親、甲妻及未成年子女乙、丙均持有該銀行之股份，則在計算主要股東持股時，下列何者之持股不必與甲合併計算？|(1)甲之父親,(2)甲妻,(3)未成年子女乙,(4)未成年子女丙|1|47期-1 第2題

依銀行法規定，銀行對於同一人、同一關係人或同一關係企業之授信限額，下列敘述何者正確？|(1)對同一人之無擔保授信總餘額，不得超過該銀行淨值之百分之五,(2)對同一關係人之無擔保授信總餘額，不得超過該銀行淨值之百分之十,(3)對同一關係企業之無擔保授信總餘額，不得超過該銀行淨值之百分之十五,(4)對同一關係企業之授信總餘額，不得超過該銀行淨值之百分之四十|1|47期-1 第3題

依銀行法規定，商業銀行對於同一人、同一關係人或同一關係企業之無擔保授信總餘額，合計不得超過該銀行淨值之多少百分比？|(1)百分之十,(2)百分之十五,(3)百分之二十,(4)百分之四十|4|47期-1 第4題

依銀行法規定，銀行辦理住宅建築及企業建築放款之總額，不得超過放款時所收存款總額及金融債券發行額之和之百分之多少？|(1)百分之十五,(2)百分之二十,(3)百分之二十五,(4)百分之三十|4|47期-1 第5題

依「金融控股公司及銀行業內部控制及稽核制度實施辦法」規定，銀行業應建立之內部控制制度，不包括下列哪項目標？|(1)營運之效果及效率,(2)報導具可靠性、及時性、透明性,(3)保證投資獲利,(4)相關法令之遵循|3|47期-1 第6題

依「金融控股公司及銀行業內部控制及稽核制度實施辦法」規定，內部稽核報告及工作底稿應至少留存幾年備查？|(1)一年,(2)三年,(3)五年,(4)十年|3|47期-1 第7題

依「金融控股公司及銀行業內部控制及稽核制度實施辦法」規定，銀行應設置隸屬於董事會之單位為何？|(1)法令遵循單位,(2)風險管理單位,(3)內部稽核單位,(4)資訊管理單位|3|47期-1 第8題

