依「金融控股公司法」規定，下列何者與甲非同一關係人？|(1)甲之配偶乙,(2)甲擔任董事長的 A 公司,(3)甲之舅舅丙,(4)由甲之配偶乙擔任董事長之 B 公司|3|48期-1 第1題 11111111
依銀行法所稱之「授信」，不包括下列何種業務？|(1)放款,(2)透支,(3)保證,(4)證券經紀|4|48期-1 第2題 22222222222222
依「金融控股公司法」規定，下列何者不屬於該法之金融機構？|(1)經營證券金融業務之證券金融公司,(2)依保險法以股份有限公司組織設立之保險業,(3)票券金融公司,(4)農漁會信用部|4|48期-1 第3題 333333333
依銀行法規定，因自用住宅放款及消費性放款而徵取之保證人，其保證契約自成立之日起，有效期間不得逾多久？（但經保證人書面同意者，不在此限）|(1)五年,(2)十年,(3)十五年,(4)二十年|3|48期-1 第4題 44444444
依銀行法規定，商業銀行投資每一非金融相關事業金額不得超過該被投資事業實收資本總額或已發行股份總數之百分之多少？|(1)五,(2)十,(3)十五,(4)二十|1|48期-1 第5題 5555
依「金融控股公司及銀行業內部控制及稽核制度實施辦法」規定，內部稽核報告及其工作底稿應至少留存幾年備查？|(1)一年,(2)二年,(3)三年,(4)五年|4|48期-1 第6題 6666
依「金融控股公司及銀行業內部控制及稽核制度實施辦法」規定，會計師辦理銀行業內部控制制度之查核，不需對下列何者表示意見？|(1)備抵呆帳提列政策之妥適性,(2)營運或專案計畫目標之達成情形,(3)銀行業申報主管機關表報資料正確性,(4)內部控制制度及法令遵循主管制度執行情形|2|48期-1 第7題 7777
依「金融控股公司及銀行業內部控制及稽核制度實施辦法」規定，有關總稽核之解聘或調職，下列程序何者正確？|(1)應先報請銀行公會核准,(2)應於事後報請主管機關備查,(3)應先報請主管機關核准,(4)無須報請主管機關核准或備查|3|48期-1 第8題 8888
依「金融控股公司及銀行業內部控制及稽核制度實施辦法」規定，銀行業為符合法令之遵循，應指定一隸屬於下列何者之法令遵循單位，負責法令遵循制度之規劃、管理及執行？|(1)稽核室,(2)監察人,(3)董事長,(4)總經理|4|48期-1 第9題 9999
依「金融控股公司及銀行業內部控制及稽核制度實施辦法」規定，每年銀行年度財務報表由會計師辦理查核簽證時，應委託會計師辦理下列何項制度之查核？|(1)自行查核,(2)內部稽核,(3)綜合評等,(4)內部控制|4|48期-1 第10題 1010101010101010
「銀行業公司治理實務守則」有關保障股東權益之規定，下列敘述何者錯誤？|(1)應重視股東知的權利,(2)應鼓勵股東參與公司治理,(3)股東依法得於股東會行使其豁免權,(4)股東會得選任檢查人查核監察人之報告|3|48期-1 第11題 1111111111111111
金融機構運鈔車之使用及裝置應注意安全及符合內部控制原則，下列敘述何者正確？|(1)運鈔路線應經常改變並予保密,(2)運鈔車保險櫃之密碼應於出發前通知運鈔人員,(3)運鈔路線應於出發前一日告知相關人員,(4)可使用分行經理座車代替運鈔車，以掩人耳目|1|48期-1 第12題 12121212
金融機構如發現自動櫃員機及門禁遭裝置不明物體或側錄器，應視影響程度通知相關單位，下列何者非屬必要通知之單位？|(1)警察機關,(2)財金資訊公司,(3)銀行公會,(4)跨行客戶所屬金融機構|3|48期-1 第13題 1313131313131313
某公司受託處理銀行委外業務，應符合相關規定，下列敘述何者正確？|(1)毋需簽訂委託契約，僅須本著誠信原則處理業務即可,(2)簽訂概括性委託契約，各項業務均可代為處理,(3)該公司應以銀行名義處理業務,(4)為取得債務人之聯繫資訊而與第三人聯繫時，該公司應表明身分及其目的|4|48期-1 第14題 14141414
依「金融機構辦理電子銀行業務安全控管作業基準」規定，電子銀行業務之訊息傳輸途徑不包括下列何者？|(1)內部網路,(2)加值網路,(3)網際網路,(4)專屬網路|1|48期-1 第15題 15151515
依「金融機構作業委託他人處理內部作業制度及程序辦法」規定，金融機構作業委外事項，不包括下列何者？|(1)鑑價作業,(2)代客開票作業,(3)應收債權之催收作業,(4)委託其財務簽證會計師辦理內部稽核作業|4|48期-1 第16題 16161616
金融機構對於客戶每筆存、提金額相當且相距時間不久之大量頻繁交易異常情形，若有疑似洗錢，應切實依據下列何項法規，向指定之機構申報？|(1)個人資料保護法,(2)公司法,(3)公平交易法,(4)洗錢防制法|4|48期-1 第17題 17171717
有關「金融同業間遭歹徒詐騙案件通報要點」訂立之目的，下列敘述何者正確？|(1)獨自處理歹徒詐騙案件,(2)發揮金融同業互助精神,(3)避免社會貧富不均,(4)增加銀行營運成本|2|48期-1 第18題 18181818
各金融機構所屬分支機構如發現遭歹徒詐騙情事時，無論歹徒是否得逞，應立即循各金融機構內部通報系統，將專用通報單各項通報內容，首先通報下列何單位？|(1)所屬總管理機構,(2)其他分支機構,(3)金融聯合徵信中心,(4)財政部|1|48期-1 第19題 19191919
依「金融同業間遭歹徒詐騙案件通報要點」規定，非金融聯合徵信中心會員之金融機構，對詐騙案件應立即以下列何種方式向金融聯合徵信中心通報？|(1)電報,(2)快遞,(3)掛號信函,(4)傳真|4|48期-1 第20題 2020202020202020
