銀行應建立內部控制制度，係依據下列何項法令？|(1)公司法,(2)銀行法,(3)審計準則公報,(4)美國國會|2|48期-2 第1題

依金融機構內部控制及稽核制度實施辦法規定，內部控制之責任層級，內部稽核部門發現內部控制缺失，應先向何者報告？|(1)董事會,(2)總經理,(3)總稽核,(4)分行經理|3|48期-2 第2題

下列何項不是「崔德威委員會」(COSO)報告中強調之內部控制要素？|(1)內部環境,(2)風險評估,(3)資訊與溝通,(4)內部稽核功能評估|4|48期-2 第3題

依「金融控股公司及銀行業內部控制及稽核制度實施辦法」規定，銀行營業單位發生重大缺失或弊端時，下列何者有懲處建議權？|(1)內部稽核單位,(2)法務單位,(3)營業單位經理,(4)資訊單位|1|48期-2 第4題

依「金融控股公司及銀行業內部控制及稽核制度實施辦法」規定，每一營業、財務保管及資訊單位作一般自行查核，應多久至少辦理一次？|(1)一個月,(2)一季,(3)半年,(4)一年|2|48期-2 第5題

依「金融控股公司及銀行業內部控制及稽核制度實施辦法」規定，銀行內部稽核單位對國內營業、財務、資產保管及資訊單位每年至少應辦理幾次查核？|(1)一次一般查核、一次專案查核,(2)兩次一般查核、一次專案查核,(3)兩次專案查核、一次一般查核,(4)兩次一般查核、兩次專案查核|2|48期-2 第6題

下列何者非屬出納業務之常見缺失及查核重點？|(1)進出金庫未設簿登記,(2)經管密碼人員異動時，未即時更換金庫密碼,(3)存戶申請更換印鑑，其申請書未加蓋原留印鑑,(4)未於營業時間中不定時抽查櫃員現金|3|48期-2 第7題

經主管機關核准備查，並提供予各銀行參考之「法令遵循自評檢核表範本」，係下列何機關所擬訂？|(1)中央銀行,(2)聯合徵信中心,(3)中央存款保險公司,(4)銀行公會|4|48期-2 第8題

銀行櫃員結帳後，現金如發生溢餘時，應以下列何項會計科目列帳？|(1)其他應收款,(2)其他應付款,(3)雜項收入,(4)其他收入|2|48期-2 第9題

下列何者非屬出納經管的業務？|(1)日計表之編製,(2)各種有價證券之保管,(3)幣券及破損券之兌換,(4)辦理現金及票據之收付及保管|1|48期-2 第10題

依規定，銀行金庫內之監視錄影帶應至少保存多久？|(1)一個月,(2)二個月,(3)四個月,(4)六個月|4|48期-2 第11題

金融機構收妥之待交換票據金額，應存入下列何人帳戶？|(1)發票人,(2)受託人,(3)提示人,(4)保證人|3|48期-2 第12題

金融機構辦理出納業務自行查核時，對於下列何者不需予以實體盤點查核？|(1)週轉金,(2)空白取款憑條,(3)託收票據,(4)空白單據|2|48期-2 第13題

下列何種單據不應放置於庫房內金櫃？|(1)傳票,(2)空白單據,(3)待交換票據,(4)託收票據|1|48期-2 第14題

